Number;Volcano Name;Country;Region;Latitude;Longitude;Elev;Type;Status;Last Known
0604-02=;Agung;Indonesia;Lesser Sunda Is;-8.342;115.508;3142;Stratovolcano;Historical;D1
0608-072;Amasing;Indonesia;Halmahera-Indonesia;-0.55;127.5;1030;Stratovolcano;Holocene;U
0606-02=;Ambang;Indonesia;Sulawesi-Indonesia;0.75;124.42;1795;Complex volcano;Historical;D3
0603-29=;Arjuno-Welirang;Indonesia;Java;-7.725;112.58;3339;Stratovolcano;Historical;D2
0607-04=;Awu;Indonesia;Sangihe Is-Indonesia;3.67;125.5;1320;Stratovolcano;Historical;D1
0603-351;Baluran;Indonesia;Java;-7.85;114.37;1247;Stratovolcano;Holocene;Unknown
0607-03=;Banua Wuhu;Indonesia;Sangihe Is-Indonesia;3.138;125.491;-5;Submarine volcano;Historical;D2
0604-26=;Batu Tara;Indonesia;Lesser Sunda Is;-7.792;123.579;748;Stratovolcano;Historical;D3
0604-01=;Batur;Indonesia;Lesser Sunda Is;-8.242;115.375;1717;Caldera;Historical;D1
0601-20=;Belirang-Beriti;Indonesia;Sumatra;-2.82;102.18;1958;Compound volcano;Fumarolic;U
0601-25=;Besar;Indonesia;Sumatra;-4.43;103.67;1899;Stratovolcano;Historical;D2
0608-073;Bibinoi;Indonesia;Halmahera-Indonesia;-0.78;127.72;900;Stratovolcano;Holocene;U
0604-001;Bratan;Indonesia;Lesser Sunda Is;-8.28;115.13;2276;Caldera;Holocene;U
0601-21=;Bukit Bukit;Indonesia;Sumatra;-3.38;102.37;2467;Stratovolcano;Fumarolic;U
0601-24=;Bukit Lumut Balai;Indonesia;Sumatra;-4.22;103.62;2055;Stratovolcano;Fumarolic;U
0601-05=;Bur Ni Telong;Indonesia;Sumatra;4.77;96.808;2624;Stratovolcano;Historical;D2
0603-17=;Cereme;Indonesia;Java;-6.892;108.4;3078;Stratovolcano;Historical;D2
0606-01=;Colo [Una Una];Indonesia;Sulawesi-Indonesia;-0.17;121.608;507;Stratovolcano;Historical;D1
0603-01=;Danau Complex;Indonesia;Java;-6.2;105.97;1778;Caldera;Holocene;U
0601-23=;Dempo;Indonesia;Sumatra;-4.03;103.13;3173;Stratovolcano;Historical;D1
0603-20=;Dieng Volc Complex;Indonesia;Java;-7.2;109.92;2565;Complex volcano;Historical;D1
0608-01=;Dukono;Indonesia;Halmahera-Indonesia;1.68;127.88;1185;Complex volcano;Historical;D1
0604-10=;Ebulobo;Indonesia;Lesser Sunda Is;-8.808;121.18;2124;Stratovolcano;Historical;D1
0604-16=;Egon;Indonesia;Lesser Sunda Is;-8.67;122.45;1703;Stratovolcano;Historical;D2
0603-14=;Galunggung;Indonesia;Java;-7.25;108.05;2168;Stratovolcano;Historical;D1
0608-06=;Gamalama;Indonesia;Halmahera-Indonesia;0.8;127.325;1715;Stratovolcano;Historical;D1
0608-04=;Gamkonora;Indonesia;Halmahera-Indonesia;1.375;127.52;1635;Stratovolcano;Historical;D1
0603-06=;Gede;Indonesia;Java;-6.78;106.98;2958;Stratovolcano;Historical;D2
0603-13=;Guntur;Indonesia;Java;-7.13;107.83;2249;Complex volcano;Historical;D3
0608-052;Hiri;Indonesia;Halmahera-Indonesia;0.88;127.32;630;Stratovolcano;Holocene;U
0601-28=;Hulubelu;Indonesia;Sumatra;-5.35;104.6;1040;Caldera;Fumarolic;U
0601-172;Hutapanjang;Indonesia;Sumatra;-2.333;101.6;2021;Stratovolcano;Holocene;U
0601-171;Hutapanjang;Indonesia;Sumatra;-2.33;101.6;2021;Stratovolcano;Holocene;U
0608-03=;Ibu;Indonesia;Halmahera-Indonesia;1.475;127.642;1325;Stratovolcano;Historical;D1
0603-35=;Ijen;Indonesia;Java;-8.058;114.242;2799;Stratovolcano;Historical;D1
0604-22=;Iliboleng;Indonesia;Lesser Sunda Is;-8.342;123.258;1659;Stratovolcano;Historical;D1
0604-24=;Ililabalekan;Indonesia;Lesser Sunda Is;-8.53;123.42;1018;Stratovolcano;Fumarolic;U
0604-17=;Ilimuda;Indonesia;Lesser Sunda Is;-8.478;122.671;1100;Stratovolcano;Fumarolic;U
0604-25=;Iliwerung;Indonesia;Lesser Sunda Is;-8.54;123.59;1018;Complex volcano;Historical;D1
0601-101;Imun;Indonesia;Sumatra;2.15;98.93;1505;Unknown;Holocene;Unknown
0604-09=;Inielika;Indonesia;Lesser Sunda Is;-8.73;120.98;1559;Complex volcano;Historical;D2
0604-08=;Inierie;Indonesia;Lesser Sunda Is;-8.875;120.95;2245;Stratovolcano;Fumarolic;U
0604-11=;Iya;Indonesia;Lesser Sunda Is;-8.88;121.63;637;Stratovolcano;Historical;D1
0603-33=;Iyang-Argapura;Indonesia;Java;-7.97;113.57;3088;Complex volcano;Holocene;U
0608-051;Jailolo;Indonesia;Halmahera-Indonesia;1.08;127.42;1130;Stratovolcano;Holocene;U
0601-22=;Kaba;Indonesia;Sumatra;-3.52;102.62;1952;Stratovolcano;Historical;D2
